№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
1759,теннисные корты,Петроградский,Вяземский сад,ЗАО «Теннис»,627
1760,Теннисный корт,Петроградский,"наб. реки Большой Невки, уч. 5 (восточнее дома 18, лит. Б)",Клуб «Династия»,648
1761,Теннисный корт,Петроградский,"наб. реки Большой Невки, уч. 4 (восточнее дома 18, лит. Б)",Клуб «Династия»,720
1762,"Теннисные корты, 4 ед. 36х18 м (воздухоопорное сооружение)",Петроградский,"Театральная аллея, дом 18, лит. А","ООО ""Спортивный клуб ""Династия""",2592
1763,Крытая теннисная площадка,Петроградский,"Южная дорога, уч. 1 (западнее дома 21, лит. Ш по Крестовскому пр.)","ООО ""Спорт Палас""",2964
1764,Крытая теннисная площадка,Петроградский,"Южная дорога, уч. 1 (западнее дома 21, лит. Ш по Крестовскому пр.)","ООО ""Спорт Палас""",2660
1765,Крытая теннисная площадка,Петроградский,"Южная дорога, уч. 1 (западнее дома 21, лит. Ш по Крестовскому пр.)","ООО ""Спорт Палас""",1296
1766,Крытая теннисная площадка,Петроградский,"Рюхина ул., дом 9, лит. Д","НП ""Мир льда"" (ТК ""Крестовский"")",1944
1767,Теннисный корт,Петроградский,"Рюхина ул., дом 9, лит. Д","НП ""Мир льда"" (ТК ""Крестовский"")",648
1768,Теннисный корт,Петроградский,"Рюхина ул., дом 9, лит. Д","НП ""Мир льда"" (ТК ""Крестовский"")",648
1769,Теннисный корт,Петроградский,"Рюхина ул., дом 9, лит. Д","НП ""Мир льда"" (ТК ""Крестовский"")",648
1770,Футбольное поле,Петроградский,"Левашовский пр., 11/7",ОАО «Метрострой»,7000
1771,Мини-футбольная площадка,Петроградский,"Левашовский пр., 11/7",ОАО «Метрострой»,648
1772,Волейбольная площадка,Петроградский,"Левашовский пр., 11/7",ОАО «Метрострой»,648
1773,Теннисная площадка,Петроградский,"Северная дорога, дом 12","ЗАО ""Центр велоспорта ""Локосфинкс""",3219
1774,Теннисный корт,Петроградский,"Северная дорога, дом 12","ЗАО ""Центр велоспорта ""Локосфинкс""",703
1775,"Теннисные корты, 4 ед. (искусственная трава, воздухоопорное сооружение)",Петроградский,"наб. Мартынова, дом 38, лит. А",Петербургский теннистный клуб им. В.И. Никифорова,3120
1776,"Теннисные корты, 3 ед.  (hard, воздухоопорное сооружение)",Петроградский,"наб. Мартынова, дом 38, лит. А",Петербургский теннистный клуб им. В.И. Никифорова,2223
1777,Теннисный корт (грунт),Петроградский,"наб. Мартынова, дом 40, лит. Б",Петербургский теннистный клуб им. В.И. Никифорова,800
1778,Теннисный корт (грунт),Петроградский,"наб. Мартынова, дом 40, лит. В",Петербургский теннистный клуб им. В.И. Никифорова,800
1779,Теннисный корт (грунт),Петроградский,"наб. Мартынова, дом 40, лит. Г",Петербургский теннистный клуб им. В.И. Никифорова,800
1780,Теннисный корт (грунт),Петроградский,"наб. Мартынова, дом 40, лит. Д",Петербургский теннистный клуб им. В.И. Никифорова,800
1781,Теннисный корт (грунт),Петроградский,"наб. Мартынова, дом 40, лит. Е",Петербургский теннистный клуб им. В.И. Никифорова,800
1782,Теннисный корт (грунт),Петроградский,"наб. Мартынова, дом 40, лит. Ж",Петербургский теннистный клуб им. В.И. Никифорова,800
1783,Теннисный корт (грунт),Петроградский,"наб. Мартынова, дом 40, лит. З",Петербургский теннистный клуб им. В.И. Никифорова,800
1784,Крытая теннисная площадка,Петроградский,"Елагин остров, дом 4, лит. Е","Теннисный клуб ""Елагин Остров""",1260
1785,Крытая теннисная площадка,Петроградский,"Елагин остров, дом 4, лит. Е","Теннисный клуб ""Елагин Остров""",1260
1786,Теннисная площадка,Петроградский,"Елагин остров, дом 4, лит. Е","Теннисный клуб ""Елагин Остров""",1147
1787,Теннисная площадка,Петроградский,"Елагин остров, дом 4, лит. Е","Теннисный клуб ""Елагин Остров""",1147
1788,Теннисная площадка,Петроградский,"Елагин остров, дом 4, лит. Е","Теннисный клуб ""Елагин Остров""",1147
1789,"Площадка для метания молота, диска",Петроградский," Петровский остров, дом 2, лит. З","ОАО ""Спортивный комплекс ""Петровский""",23
1790,Площадка для метания копья,Петроградский," Петровский остров, дом 2, лит. З","ОАО ""Спортивный комплекс ""Петровский""",48
1791,Площадка для толкания ядра,Петроградский," Петровский остров, дом 2, лит. З","ОАО ""Спортивный комплекс ""Петровский""",20
1792,Футбольная площадка,Петродворцовый,"г. Петергоф, Озерковая ул., уч. 8 (напротив дома 19)",ГБОУ ДОД СДЮСШОР Петродворцового района СПб,1787
1793,Баскетбольная площадка,Петродворцовый,"г. Петергоф, Суворовский городок, дом 69, корп. 6, лит. А",ГБОУ ДОД СДЮСШОР Петродворцового района СПб,688
1794,Футбольная площадка,Петродворцовый,"г. Петергоф, Суворовский городок, дом 69, корп. 6, лит. А",ГБОУ ДОД СДЮСШОР Петродворцового района СПб,1650
1795,Многофункциональная спортивная площадка,Петродворцовый,"г. Ломоносов, Манежная ул., дом 3, лит. А","ГБОУ ДОД ДЮСШ Петродворцового района СПб ""Манеж""",3500
1796,Площадка для скейтборда,Петродворцовый,"пос. Стрельна, Волхонское шоссе, уч. 11 (южнее пересечения Волхонского шоссе и Заводской дороги)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",408
1797,Тренажёрная площадка,Петродворцовый,"пос. Стрельна, Орловская ул., уч. 2 (напротив дома 1)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",225
1798,Тренажёрная  площадка,Петродворцовый,"пос. Стрельна, Санкт-Петербургское шоссе, уч. 17 (у дома 68/2, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",276
1799,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, Бобыльская дорога, уч. 5 (напротив дома 61, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",611
1800,Тренажёрная площадка,Петродворцовый,"г. Петергоф, Гостилицкое шоссе, уч. 10 (у дома 23, корп. 1)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",332
1801,Баскетбольная площадка,Петродворцовый,"г. Петергоф, Константиновская ул., уч. 2 (возле дома 8, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",250
1802,Волейбольная площадка,Петродворцовый,"г. Петергоф, Константиновская ул., уч. 3 (возле дома 8, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",300
1803,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, Кооперативная ул., уч. 3 (напротив дома 20, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",397
1804,Баскетбольная площадка,Петродворцовый,"г. Петергоф, Озерковая ул., уч. 9 (у дома 45, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",545
1805,Тренажёрная  площадка,Петродворцовый,"г. Петергоф, Разводная ул., уч. 39 (у дома 19)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",405
1806,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, Суворовская ул., уч. 5 (напротив дома 5, корп. 4)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",367
1807,футбольное поле,Петродворцовый,"г. Петергоф, пер. Суворовцев, уч. 1 (у дома 10)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",6348
1808,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, Чебышевская ул., уч. 5 (напротив дома 4, корп. 1)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",933
1809,Волейбольная  площадка,Петродворцовый,"г. Петергоф, Чичеринская ул., уч. 7 (напротив дома 5, корп. 1)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",235
1810,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, Чичеринская ул., уч. 8 (напротив дома 5, корп. 2)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",595
1811,Баскетбольная площадка,Петродворцовый,"г. Петергоф, Чичеринская ул., уч. 9 (напротив дома 5, корп. 2)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",331
1812,Тренажёрная  площадка ,Петродворцовый,"г. Петергоф, ул. Шахматова, уч. 8 (у дома 16, корп. 4, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",553
1813,Баскетбольная площадка,Петродворцовый,"г. Ломоносов, Александровская ул., уч. 7, (у дома 15)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",364
1814,Баскетбольная площадка,Петродворцовый,"г. Ломоносов, Александровская ул., уч. 8, (напротив дома 32б)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",600
1815,Стадион с футбольным полем 100х68 м и легкоатлетическими дорожками,Петродворцовый,"г. Ломоносов, Михайловская ул., дом 29, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",13950
1816,Теннисный корт,Петродворцовый,"г. Ломоносов, Михайловская ул., дом 29, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",684
1817,Теннисный корт,Петродворцовый,"г. Ломоносов, Михайловская ул., дом 29, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",684
1818,Хоккейная площадка,Петродворцовый,"г. Ломоносов, Михайловская ул., дом 29, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",1624
1819,Городошная площадка,Петродворцовый,"г. Ломоносов, Михайловская ул., дом 29, лит. А","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",312
1820,Хоккейная площадка,Петродворцовый,"г. Ломоносов, Ораниенбаумский пр., уч. 7 (напротив дома 21, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",484
1821,Площадка для скейтборда,Петродворцовый,"г. Ломоносов, ул. Победы, уч. 12 (северо-западнее дома 34, корп. 2, лит. А)","ГБУ ""Центр физической культуры, спорта и здоровья Петродворцового района СПб""",619
1822,Мини-футбольная площадка,Петродворцовый,"пос. Стрельна, Ново-Нарвское шоссе, уч. 3 (у дома 9)","ГБУ ""Подростково-молодёжный центр Петродворцового района СПб""",698
1823,Хоккейная площадка,Петродворцовый,"пос. Стрельна, Санкт-Петербургское шоссе, уч. 20 (севернее дома 84а, лит. А)","ГБУ ""Подростково-молодёжный центр Петродворцового района СПб""",1514
1824,Хоккейная площадка,Петродворцовый,"г. Петергоф, ул. Веденеева, уч. 3 (южнее дома 1, лит. А)","ГБУ ""Подростково-молодёжный центр Петродворцового района СПб""",3323
1825,Площадка для массового катания,Петродворцовый,"г. Петергоф, ул. Веденеева, уч. 2 (южнее дома 4)","ГБУ ""Подростково-молодёжный центр Петродворцового района СПб""",309
1826,Баскетбольная площадка,Петродворцовый,"г. Петергоф, Санкт-Петербургский пр., дом 43, лит. А",ГБОУ Петергофская гимназия императора Александра II,220
1827,Спортивная площадка,Петродворцовый,"пос. Стрельна, Санкт-Петербургское шоссе, дом 77, лит. А","ГБОУ школа-интернат № 49 ""Школа здоровья""",2879
1828,Футбольная площадка с беговыми дорожками,Петродворцовый,"г. Петергоф, Бобыльская дорога, дом 59, корп. 2, лит. А",ГБОУ СОШ № 319,2329
1829,Баскетбольная площадка,Петродворцовый,"г. Петергоф, Бобыльская дорога, дом 59, корп. 2, лит. А",ГБОУ СОШ № 319,448
1830,Волейбольная площадка,Петродворцовый,"г. Петергоф, Бобыльская дорога, дом 59, корп. 2, лит. А",ГБОУ СОШ № 319,368
1831,Сектор для прыжков в длину,Петродворцовый,"г. Петергоф, Бобыльская дорога, дом 59, корп. 2, лит. А",ГБОУ СОШ № 319,270
1832,Спортивная площадка,Петродворцовый,"г. Петергоф, Ботаническая ул., дом 6, лит. А","ГБОУ СОШ № 411 ""Гармония""",2332
1833,Спортивная площадка,Петродворцовый,"г. Петергоф, Эрлеровский бульвар, дом 20, лит. А",ГБОУ СОШ № 412,2650
1834,Баскетбольно-волейбольная площадка,Петродворцовый,"г. Петергоф, Эрлеровский бульвар, дом 20, лит. А",ГБОУ СОШ № 412,448
1835,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, Эрлеровский бульвар, дом 20, лит. А",ГБОУ СОШ № 412,800
1836,Спортивная площадка,Петродворцовый,"пос. Стрельна, Волхонское шоссе, дом 26, лит. А",ГБОУ СОШ № 413,3120
1837,Спортивная площадка,Петродворцовый,"г. Петергоф, Эрлеровский бульвар, дом 1/35, лит. А","ГБОУ СОШ № 416 ""Школа развития личности им. В.В. Павловой",2330
1838,Мини-футбольная площадка,Петродворцовый,"г. Ломоносов, ул. Жоры Антоненко, дом 1, лит. А",ГБОУ СОШ № 417,437
1839,Баскетбольная площадка,Петродворцовый,"г. Ломоносов, ул. Жоры Антоненко, дом 1, лит. А",ГБОУ СОШ № 417,360
1840,Площадка экстремальных видов спорта,Петродворцовый,"г. Ломоносов, ул. Жоры Антоненко, дом 1, лит. А",ГБОУ СОШ № 417,840
1841,Спортивная площадка,Петродворцовый,"г. Петергоф, Ботаническая ул., дом 8, лит. А",ГБОУ лицей № 419,2925
1842,футбольное поле,Петродворцовый,"пос. Стрельна, Санкт-Петербургское шоссе, дом 102а, лит. А",ГБОУ СОШ № 421,4050
1843,Площадка в/бол,Петродворцовый,"пос. Стрельна, Санкт-Петербургское шоссе, дом 102а, лит. А",ГБОУ СОШ № 421,200
1844,Площадка б/бол,Петродворцовый,"пос. Стрельна, Санкт-Петербургское шоссе, дом 102а, лит. А",ГБОУ СОШ № 421,500
1845,Спортивная площадка,Петродворцовый,"г. Ломоносов, Владимирская ул., дом 28, лит. А",ГБОУ гимназия № 426,2240
1846,Спортивная площадка,Петродворцовый,"г. Ломоносов, ул. Дегтярева, дом 1/7, лит. А",ГБОУ СОШ № 429 им. Героя РФ М.Ю. Малофеева,2694
1847,Спортивная площадка,Петродворцовый,"г. Ломоносов, ул. Скуридина, дом 6а, лит. А",ГБОУ СОШ № 430,2925
1848,площадка баскетбольная ,Петродворцовый,"г. Ломоносов, ул. Скуридина, дом 6а, лит. А",ГБОУ СОШ № 430,450
1849,Спортивная площадка,Петродворцовый,"г. Ломоносов, ул. Победы, дом 28, корп. 2, лит. А",ГБОУ СОШ № 436,2332
1850,Школьный стадион,Петродворцовый,"г. Петергоф, Разводная ул., дом 27, лит. А",ГБОУ СОШ № 529,2100
1851,Площадка баскетбол,Петродворцовый,"г. Петергоф, Разводная ул., дом 27, лит. А",ГБОУ СОШ № 529,375
1852,Спортивная площадка,Петродворцовый,"г. Петергоф, Санкт-Петербургский пр., дом 4, лит. А",ГБОУ СОШ № 542,2925
1853,Площадка для скейтборда,Петродворцовый,"г.Петергоф, Санкт-Петербургский пр., 4",ГБОУ СОШ №542,600
1854,Спортивная площадка,Петродворцовый,"г. Петергоф, ул. Шахматова, дом 10, корп. 1, лит. А",ГБОУ СОШ № 567,2224
1855,Полоса препятствий,Петродворцовый,"г. Петергоф, ул. Шахматова, дом 10, корп. 1, лит. А",ГБОУ СОШ № 567,1200
1856,Мини-футбольная площадка,Петродворцовый,"г. Ломоносов, ул. Сафронова, дом 5, лит. А",ГБОУ СОШ № 602,800
1857,Спортивная площадка,Петродворцовый,"г. Ломоносов, ул. Сафронова, дом 5, лит. А",ГБОУ СОШ № 602,886
1858,Спортивная площадка,Петродворцовый,"г. Петергоф, Санкт-Петербургский пр., дом 61, лит. А",ГБОУ центр образования № 671,2212
1859,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, Заячий пр., дом 3, лит. А","ГБСУ СО ""Психоневрологический интернат № 3""",920
1860,Футбольная площадка,Петродворцовый,"г. Петергоф, Ропшинское шоссе, дом 1, корп. 2, лит. А","ГБСУ СО ""Дом-интернат для детей-инвалидов и инвалидов с детства с нарушениями умственного развития № 1""",2400
1861,Баскетбольная площадка,Петродворцовый,"г. Петергоф, Ропшинское шоссе, дом 1, корп. 2, лит. А","ГБСУ СО ""Дом-интернат для детей-инвалидов и инвалидов с детства с нарушениями умственного развития № 1""",400
1862,Волейбольная площадка,Петродворцовый,"г. Петергоф, Ропшинское шоссе, дом 1, корп. 2, лит. А","ГБСУ СО ""Дом-интернат для детей-инвалидов и инвалидов с детства с нарушениями умственного развития № 1""",162
1863,Волейбольная площадка,Петродворцовый,"г. Петергоф, Ропшинское шоссе, дом 1, корп. 2, лит. А","ГБСУ СО ""Дом-интернат для детей-инвалидов и инвалидов с детства с нарушениями умственного развития № 1""",162
1864,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, ул. Воровского, дом 12, лит. А","ГБСУ СО ""Дом-интернат для детей-инвалидов и инвалидов с детства с нарушениями умственного развития № 1""",575
1865,Мини-футбольная площадка,Петродворцовый,"пос. Стрельна, ул. Вокзальная, 4-6",МО пос. Стрельна,800
1866,Тренажёрная  площадка,Петродворцовый,"пос. Стрельна, ул. Львовская.25",МО пос. Стрельна,300
1867,Спортивная площадка,Петродворцовый,"пос. Стрельна, Почтовый пер. 4",МО пос. Стрельна,800
1868,Спортивная площадка,Петродворцовый,"пос. Стрельна, Театральная аллея, 15",МО пос. Стрельна,1200
1869,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, Бобыльская дор.57",МО г. Петергоф,700
1870,Тренажёрная площадка,Петродворцовый,"г. Петергоф, ул. Братьев Гаркушенко, д.5",МО г. Петергоф,800
1871,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, ул. Пугачева, 17",МО г. Петергоф,600
1872,Мини-футбольная площадка,Петродворцовый,"г. Петергоф, Ропшинское шоссе,13",МО г. Петергоф,800
1873,Спортивная площадка,Петродворцовый,"г. Петергоф, Собственный пр., южнее дома 24, лит. А",МО г. Петергоф,11876
1874,Мини-футбольная площадка,Петродворцовый,"г. Ломоносов, Профсоюзная ул., 11",МО г. Ломоносов,900
1875,Футбольная площадка,Петродворцовый,"г. Петергоф, Ботаническая ул., восточнее дома 68, лит. А","ФГБОУ ВПО ""Санкт-Петербургский государственный университет"" (Петродворцовый учебно-научный комплекс)",1512
1876,Волейбольная площадка,Петродворцовый,"г. Петергоф, Ботаническая ул., южнее дома 66, корп. 4, лит. А","ФГБОУ ВПО ""Санкт-Петербургский государственный университет"" (Петродворцовый учебно-научный комплекс)",520
1877,Баскетбольная площадка,Петродворцовый,"г. Петергоф, Ботаническая ул., южнее дома 66, корп. 4, лит. А","ФГБОУ ВПО ""Санкт-Петербургский государственный университет"" (Петродворцовый учебно-научный комплекс)",722
1878,"Стадион ""Ракета""",Петродворцовый,"г. Петергоф, Зверинская ул., дом 6, лит. I","АО ""Парк""",7488
1879,Футбольное поле,Петродворцовый,"г. Петергоф, Зверинская ул., дом 6, лит. I","АО ""Парк""",5450
1880,Волейбольная площадка,Петродворцовый,"г. Петергоф, Зверинская ул., дом 6, лит. I","АО ""Парк""",416
1881,Пейнтбольная площадка,Петродворцовый,"г. Петергоф, Зверинская ул., дом 6, лит. I","АО ""Парк""",1989
1882,"Стадион ""Приморец""",Приморский,"Приморский пр., дом 56, корп. 2, лит. Д","ГАУ ""Дирекция по управлению спортивными сооружениями""",18010
1883,Спортивная площадка,Приморский,"Приморский пр., д.56,к.2","ГАУ ""Дирекция по управлению спортивными сооружениями""",2647
1884,Спортивная площадка,Приморский,"Приморский пр., д.56,к.2","ГАУ ""Дирекция по управлению спортивными сооружениями""",1408
1885,Спортивная площадка,Приморский,"Приморский пр., д.56,к.2","ГАУ ""Дирекция по управлению спортивными сооружениями""",900
1886,Футбольное поле,Приморский,"ул.Аккуратова, д.7 а","ГБОУ СОШ-интернат № 357 ""Олимпийские надежды""",9652.5
1887,Спортивная площадка,Приморский,"ул. Савушкина, д.134, к.4, лит.А","ГБОУ СОШ-интернат № 357 ""Олимпийские надежды""",1092
1888,Спортивная площадка,Приморский,"ул. Савушкина, д.134, к.4, лит.А","ГБОУ СОШ-интернат № 357 ""Олимпийские надежды""",540
1889,Спортивная площадка,Приморский,"аллея Поликарпова, д.3 кор.1",СПб ГБУ «Центр спорта»,942
1890,Спортивная площадка,Приморский,"аллея Поликарпова, д.8",СПб ГБУ «Центр спорта»,750
1891,Спортивная площадка,Приморский,"Аэродромная ул., д.11 кор.2",СПб ГБУ «Центр спорта»,191
1892,Спортивная площадка,Приморский,"Байконурская ул., д.25",СПб ГБУ «Центр спорта»,638
1893,Спортивная площадка,Приморский,"Богатырский пр., д.5 кор.3",СПб ГБУ «Центр спорта»,1230
1894,Спортивная площадка,Приморский,"Богатырский пр., д.9, лит.А",СПб ГБУ «Центр спорта»,637
1895,Спортивная площадка,Приморский,"Долгоозерная ул., 4 кор.2, лит.А",СПб ГБУ «Центр спорта»,364
1896,Спортивная площадка,Приморский,"Ильюшина ул. д. 11, лит.А",СПб ГБУ «Центр спорта»,667
1897,Спортивная площадка,Приморский,"Ильюшина ул., д.15, корп.1, лит.А",СПб ГБУ «Центр спорта»,765
1898,Спортивная площадка,Приморский,"Испытателей пр., д. 20, корп.1",СПб ГБУ «Центр спорта»,735
1899,Спортивная площадка,Приморский,"Камышовая ул., д.16",СПб ГБУ «Центр спорта»,239
1900,Спортивная площадка,Приморский,"Комендантский пр., д.31, корп.1",СПб ГБУ «Центр спорта»,290
1901,Спортивная площадка,Приморский,"Ланское шоссе, 24,  кор.5",СПб ГБУ «Центр спорта»,709
1902,Спортивная площадка,Приморский,"Ланское шоссе, д.9",СПб ГБУ «Центр спорта»,795
1903,Спортивная площадка,Приморский,"ул. Матроса Железняка, уч. 31 (юго-восточнее дома 9)",СПб ГБУ «Центр спорта»,660
1904,Спортивная площадка,Приморский,"наб. Черной речки, д.31",СПб ГБУ «Центр спорта»,624
1905,Спортивная площадка,Приморский,"Новоалександровская ул., д.26",СПб ГБУ «Центр спорта»,186
1906,Спортивная площадка,Приморский,"Новоколомяжский пр., д.4, корп.4",СПб ГБУ «Центр спорта»,494
1907,Спортивная площадка,Приморский,"Ново-Орловская ул., д.66, лит.А",СПб ГБУ «Центр спорта»,711
1908,Спортивная площадка,Приморский,"Парашютная ул., д.12",СПб ГБУ «Центр спорта»,306
1909,Спортивная площадка,Приморский,"Парашютная ул., д.18",СПб ГБУ «Центр спорта»,788
1910,Спортивная площадка,Приморский,"Планерная ул., д.41",СПб ГБУ «Центр спорта»,780
1911,Спортивная площадка,Приморский,"пос. Лахта, Колхозная ул., 33",СПб ГБУ «Центр спорта»,2411
1912,Спортивная площадка,Приморский,"Серебристый б-р., 13, корп.1, лит.А",СПб ГБУ «Центр спорта»,379
1913,Спортивная площадка,Приморский,"Школьная ул., д.3",СПб ГБУ «Центр спорта»,469
1914,Спортивная площадка,Приморский,"Яхтенная ул., д.8 кор.1",СПб ГБУ «Центр спорта»,435
1915,Спортивная площадка,Приморский,"Парк 300-летия СПб, Приморский пр., д.74",СПб ГБУ «Центр спорта»,1530
1916,Спортивная площадка,Приморский,"Авиаконструкторов пр., д.32",СПб ГБУ «Центр спорта»,339
1917,Спортивная площадка,Приморский,"Гаккелевская ул., д.25 кор.2",СПб ГБУ «Центр спорта»,466
1918,Спортивная площадка,Приморский,"Главная ул., д.24",СПб ГБУ «Центр спорта»,528
1919,Спортивная площадка,Приморский,"Земский пер., д.8",СПб ГБУ «Центр спорта»,735
1920,Спортивная площадка,Приморский,"Камышовая ул., д.32 кор.1",СПб ГБУ «Центр спорта»,893
1921,Спортивная площадка,Приморский,"Новоколомяжский пр., д.4 корп..4",СПб ГБУ «Центр спорта»,283
1922,Спортивная площадка,Приморский,"Уточкина ул., д.1, к.1",СПб ГБУ «Центр спорта»,341
1923,Спортивная площадка,Приморский,"Хрулева ул., д.6",СПб ГБУ «Центр спорта»,1066
1924,Спортивная площадка,Приморский,"Шуваловский пр., д.51, к.1",СПб ГБУ «Центр спорта»,550
1925,Спортивная площадка,Приморский,"Яхтенная ул., д.7",СПб ГБУ «Центр спорта»,1113
1926,Спортивная площадка,Приморский,"аллея Котельникова, д.2, к.2, лит,А",СПб ГБУ «Центр спорта»,317
1927,Спортивная площадка,Приморский,"Испытателей пр., д.28, к.3, лит.А",СПб ГБУ «Центр спорта»,723
1928,Хоккейная площадка,Приморский,"Авиаконструкторов пр., д.13, корп.1",СПб ГБУ «Центр спорта»,855
1929,Хоккейная площадка,Приморский,"Авиаконструкторов пр., д.8, корп.2",СПб ГБУ «Центр спорта»,782
1930,Хоккейная площадка,Приморский,"Байконурская ул., д.19, корп.3, лит.А",СПб ГБУ «Центр спорта»,813
1931,Хоккейная площадка,Приморский,"Белоостровская ул., уч. 8 (северо-восточнее дома 23, лит. А)",СПб ГБУ «Центр спорта»,481
1932,Хоккейная площадка,Приморский,"Дибуновская ул., д.59",СПб ГБУ «Центр спорта»,514
1933,Хоккейная площадка,Приморский,"Дибуновская ул., д.9",СПб ГБУ «Центр спорта»,499
1934,Хоккейная площадка,Приморский,"Савушкина ул., 107 кор.1",СПб ГБУ «Центр спорта»,943
1935,Хоккейная площадка,Приморский,"Савушкина ул., д.122",СПб ГБУ «Центр спорта»,971
1936,Хоккейная площадка,Приморский,"Савушкина ул., д.44",СПб ГБУ «Центр спорта»,408
1937,Хоккейная площадка,Приморский,"Стародеревенская, д. 24",СПб ГБУ «Центр спорта»,669
1938,Хоккейная площадка,Приморский,"Школьная ул., д.17",СПб ГБУ «Центр спорта»,309
1939,Хоккейная площадка,Приморский,"Яхтенная ул., д.6 кор.1",СПб ГБУ «Центр спорта»,541
1940,Хоккейная площадка,Приморский,"Байконурская ул., д.5  корп.1",СПб ГБУ «Центр спорта»,1130
1941,Хоккейная площадка,Приморский,"Мартыновская ул., 8 кор.1",СПб ГБУ «Центр спорта»,439
1942,Спортивная площадка,Приморский,"Торжковская ул., д.30, лит.А",ГБСКОУ школа №13,700
1943,Пришкольный стадион,Приморский,"Авиаконструкторов пр., д.15,к.2,лит.А",ГБОУ СОШ №38,3425.92
1944,Спортивная площадка,Приморский,"Авиаконструкторов пр., д.15,к.2,лит.А",ГБОУ СОШ №38,450
1945,Пришкольный стадион,Приморский,"Комендантский пр., д.22, к.3, лит.А",ГБОУ лицей №40,2880
1946,Пришкольный стадион,Приморский,"Маршала Новикова ул., д.1,к.3, лит.А",ГБОУ гимназия №41,2420.8
1947,Пришкольный стадион,Приморский,"Сизова пр., д.32,к.3,лит.А",ГБОУ гимназия №42,2925
1948,Спортивная площадка,Приморский,"Серебристый бульвар, д.16, к.3, лит.А",ГБОУ СОШ №43,450
1949,Пришкольный стадион,Приморский,"Серебристый бульвар, д.9, к.2, лит.А",ГБОУ СОШ №43,3000
1950,Пришкольный стадион,Приморский,"Школьная ул., д.66, лит.А",ГБОУ СОШ №44,2544.6
1951,Пришкольный стадион,Приморский,"Маршала Новикова, д.8, к.2",ГБОУ СОШ №45,2332.4
1952,Хоккейная площадка,Приморский,"Маршала Новикова, д.8, к.2",ГБОУ СОШ №45,770.25
1953,Пришкольный стадион,Приморский,"Савушкина ул.., д.61",ГБОУ СОШ №46,600
1954,Пришкольный стадион,Приморский,"Богатырский пр., д.55,к.3,лит.А",ГБОУ гимназия №49,2925
1955,Спортивная площадка,Приморский,"Богатырский пр., д.7,к.4,лит.А",ГБОУ гимназия №52,1080
1956,Спортивная площадка,Приморский,"Школьная ул., д.19, лит.А",ГБОУ СОШ №53,150
1957,Пришкольный стадион,Приморский,"аллея поликарпова, д.7, лит.А",ГБОУ СОШ №57,3080
1958,Спортивная площадка,Приморский,"Королева пр., д.11",ГБОУ СОШ №58,3541.5
1959,Пришкольный стадион,Приморский,"Байконурская ул., д.25, лит.А",ГБС(К)ОУ №59,3360
1960,Спортивная площадка,Приморский,"Богатырский пр.,д.61,корп.2",ГБОУ лицей №64,1627.8
