№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
3260,Спортивный зал,Кронштадтский,"г. Кронштадт, ул. Станюковича, дом 4, лит. А",ГБОУ СОШ № 418,288
3261,Спортивный зал,Кронштадтский,"пр.Ленина, д.6",ГБОУ СОШ № 422,288
3262,Спортивный зал,Кронштадтский,"пр.Ленина, д.6",ГБОУ СОШ № 422,162
3263,Спортивный зал,Кронштадтский,"пл.Рошаля, д.4/11, лит.А",ГБОУ СОШ № 423,311
3264,Спортивный зал,Кронштадтский,"г. Кронштадт, Цитадельское шоссе, дом 2, лит. А",ГБОУ СОШ № 424,269
3265,Спортивный зал,Кронштадтский,"г. Кронштадт, Андреевская ул., дом 7, лит. А",ГБОУ СОШ № 425 им. Академика П.Л. Капицы,278
3266,Спортивный зал,Кронштадтский,"г. Кронштадт, ул. Лебедева, дом 5а, лит. А",ГБОУ СОШ № 427,270
3267,Спортивный зал,Кронштадтский,"ул.Андреевская, д.3, литера А",ГБСКОУ школа № 676,155
3268,Спортивный зал,Кронштадтский,"Кронштадт, ул. Советская,д.35, литер А","ГБУ ""Кронштадтский Дворец молодежи""",223
3269,Спортивный зал,Кронштадтский,"ул.Петровская, д.9","Спортивный Центр (морской и физической подготовки, г.Кронштадт)",350
3270,Спортивно-концертный зал,Курортный,г. Сестрорецк пр. Красных Командиров дом 9.литера»А»,ГБОУ ДОД СДЮСШОР Курортного района СПб им. В. Коренькова,162
3271,Мини-футбольный зал,Курортный,г. Сестрорецк пр. Красных Командиров дом 9.литера»Б»,ГБОУ ДОД СДЮСШОР Курортного района СПб им. В. Коренькова,434
3272,Спортивно-концертный зал,Курортный,Б. Литейный пер.37,"ГБУК ""Парк культуры и отдыха ""Дубки""",784
3273,Спортивно-концертный зал,Курортный,"г. Зеленогорск, Красноармейская ул., дом 15, лит. А",ГБОУ школа № 69 ,162
3274,Тренажёрный зал,Курортный,"г. Зеленогорск, Красноармейская ул., дом 15, лит. А",ГБОУ школа № 69 ,162
3275,Спортивный зал,Курортный,"г. Сестрорецк, Приморское шоссе, дом 308, лит. А",ГБОУ СОШ № 324,288
3276,Спортивный зал,Курортный,"г. Сестрорецк, ул. Мосина, дом 63, лит. А",ГБОУ СОШ № 434,396
